,Unnamed: 0,Name,state,summit_elev,vertical_drop,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac,clusters
201,201,Oak Mountain,New York,2400,650,0,0.0,0,0,1,0,0,3,4,22.0,1.0,1.2,46.0,18.0,115.10394265232976,71.0,120.0,40.0,40.0,120.0530035335689,12.0,0
203,203,Plattekill Mountain,New York,3500,1100,0,0.0,0,0,0,1,1,2,4,38.0,1.0,2.0,110.0,75.0,65.0,26.0,175.0,50.0,67.0,65.0,0.0,2
204,204,Royal Mountain Ski Area,New York,1800,550,0,0.0,0,0,0,0,3,0,3,14.0,0.0,0.3,35.0,28.0,115.10394265232976,63.0,90.0,45.0,45.0,120.0530035335689,0.0,0
205,205,Snow Ridge,New York,2000,650,0,0.0,0,0,0,0,4,2,6,21.0,2.0,0.8,130.0,65.0,73.0,74.0,230.0,38.0,48.0,100.0,40.0,0
206,206,Song Mountain,New York,1940,700,0,0.0,0,0,0,1,1,3,5,24.0,0.0,0.4,93.0,70.0,90.0,55.0,125.0,59.0,59.0,122.0,70.0,0
208,208,Thunder Ridge,New York,1270,500,0,0.0,0,0,0,1,2,3,6,30.0,0.0,0.4,100.0,100.0,121.0,60.0,185.31645569620247,57.91695652173913,57.0,121.0,100.0,0
210,210,Toggenburg Mountain,New York,2000,700,0,0.0,0,0,0,1,1,3,5,22.0,2.0,0.4,85.0,0.0,115.10394265232976,66.0,130.0,55.0,55.0,122.0,73.0,0
211,211,West Mountain,New York,1470,1010,0,0.0,0,0,0,1,2,2,5,29.0,1.0,0.6,124.0,105.0,115.10394265232976,58.0,80.0,49.0,59.0,120.0,105.0,0
215,215,Woods Valley Ski Area,New York,1400,500,0,0.0,0,0,0,0,2,4,6,21.0,0.0,0.3,25.0,16.0,115.10394265232976,55.0,180.0,31.0,39.0,120.0530035335689,15.0,0
217,217,Cataloochee Ski Area,North Carolina,5400,740,0,0.0,0,0,1,1,1,2,5,18.0,2.0,1.0,50.0,50.0,141.0,58.0,50.0,43.0,70.0,108.0,50.0,2
221,221,Wolf Ridge Ski Resort,North Carolina,4700,720,0,0.0,0,0,1,0,1,2,4,15.0,1.0,0.6,65.0,65.0,115.10394265232976,49.0,65.0,42.0,65.0,100.0,60.0,2
222,222,Alpine Valley,Ohio,1500,230,0,0.0,0,0,1,2,1,1,5,11.0,1.0,0.2,72.0,72.0,105.0,53.0,120.0,43.0,43.0,120.0530035335689,72.0,0
228,228,Cooper Spur,Oregon,4000,350,0,0.0,0,0,0,0,1,1,2,10.0,0.0,0.1,50.0,0.0,78.0,66.0,100.0,39.0,39.0,90.0,0.0,2
230,230,Mt. Ashland,Oregon,7533,1150,0,0.0,0,0,0,2,2,1,5,23.0,2.0,1.0,220.0,0.0,94.0,55.0,300.0,45.0,52.0,92.0,40.0,1
238,238,Ski Big Bear,Pennsylvania,1250,650,0,0.0,0,0,0,0,4,2,6,18.0,1.0,1.5,26.0,26.0,75.0,43.0,69.0,50.0,62.0,75.0,26.0,0
240,240,Blue Knob,Pennsylvania,3146,1072,0,0.0,0,0,0,2,2,2,6,34.0,1.0,2.0,100.0,84.0,87.0,56.0,120.0,43.0,68.0,105.0,42.0,2
247,247,Mount Pleasant of Edinboro,Pennsylvania,1540,340,0,0.0,0,0,0,1,0,1,2,10.0,0.0,0.5,40.0,35.0,75.0,48.0,100.0,30.0,33.0,90.0,35.0,0
250,250,Shawnee Mountain Ski Area,Pennsylvania,1350,700,0,0.0,0,1,1,0,4,4,10,23.0,2.0,1.6,125.0,125.0,100.0,44.0,50.0,55.0,65.0,122.0,120.0,0
251,251,Ski Sawmill,Pennsylvania,2215,515,0,0.0,0,0,0,1,1,3,5,14.0,1.0,0.1,15.0,13.0,115.10394265232976,50.0,24.0,30.0,44.0,90.0,15.0,0
253,253,Spring Mountain Ski Area,Pennsylvania,528,450,0,0.0,0,0,0,1,3,2,6,9.0,1.0,0.2,45.0,45.0,100.0,56.0,20.0,57.91695652173913,64.16681003584229,100.0,45.0,0
254,254,Tussey Mountain,Pennsylvania,1750,520,0,0.0,0,0,1,0,1,3,5,8.0,1.0,0.3,38.0,30.0,100.0,39.0,41.0,40.0,45.0,100.0,30.0,0
256,256,Yawgoo Valley,Rhode Island,315,245,0,0.0,0,0,0,0,2,2,4,13.0,1.0,0.2,30.0,30.0,100.0,54.0,40.0,57.91695652173913,64.16681003584229,100.0,30.0,0
257,257,Deer Mountain Ski Resort,South Dakota,6850,940,0,0.0,0,0,0,1,1,2,4,63.0,2.0,1.6,500.0,50.0,69.0,51.0,200.0,45.0,45.0,81.0,0.0,1
278,278,Mad River Glen,Vermont,3637,2037,0,0.0,0,0,0,2,2,1,5,52.0,0.0,1.0,115.0,16.0,134.0,71.0,228.0,57.91695652173913,64.16681003584229,135.0,0.0,2
279,279,Magic Mountain,Vermont,2850,1500,0,0.0,0,0,0,0,3,3,6,50.0,1.0,1.6,205.0,95.0,76.0,59.0,150.0,74.0,74.0,80.0,0.0,2
290,290,The Homestead Ski Area,Virginia,3200,700,0,0.0,0,0,0,0,1,1,2,10.0,0.0,1.0,45.0,100.0,91.0,60.0,50.0,57.91695652173913,64.16681003584229,100.0,0.0,2
294,294,Bluewood,Washington,5670,1125,0,0.0,0,0,0,2,0,1,3,24.0,2.0,2.0,355.0,0.0,70.0,40.0,300.0,42.0,47.0,110.0,0.0,2
302,302,Canaan Valley Resort,West Virginia,4280,850,0,0.0,0,0,1,2,0,1,4,47.0,1.0,1.2,95.0,75.0,115.10394265232976,48.0,160.0,52.0,68.0,93.0,0.0,2
310,310,Christmas Mountain,Wisconsin,1250,250,0,0.0,0,0,1,0,0,2,3,16.0,0.0,0.4,40.0,40.0,75.0,50.0,20.0,57.91695652173913,64.16681003584229,70.0,40.0,0
312,312,Grand Geneva,Wisconsin,1086,211,0,0.0,0,0,0,0,3,3,6,20.0,1.0,0.2,30.0,30.0,90.0,25.0,25.0,28.0,49.0,93.0,30.0,0
314,314,Little Switzerland,Wisconsin,1269,200,0,0.0,0,0,0,0,4,4,8,18.0,3.0,1.0,50.0,50.0,115.10394265232976,63.65653495440729,185.31645569620247,33.0,41.0,120.0530035335689,50.0,0
315,315,Mount La Crosse,Wisconsin,1110,516,0,0.0,0,0,0,0,3,1,4,19.0,1.0,0.4,100.0,100.0,115.0,60.0,40.0,56.0,56.0,100.0,90.0,0
323,323,Hogadon Basin,Wyoming,8000,640,0,0.0,0,0,0,0,1,1,2,28.0,1.0,0.6,92.0,32.0,121.0,61.0,80.0,48.0,48.0,95.0,0.0,1
328,328,Snowy Range Ski & Recreation Area,Wyoming,9663,990,0,0.0,0,0,0,1,3,1,5,33.0,2.0,0.7,75.0,30.0,131.0,59.0,250.0,49.0,49.0,120.0530035335689,0.0,1
